id_vehiculo,id_poliza,id_asegurado,placa,chasis,motor,marca,modelo,anio,created_at,updated_at
1,9,49,PBA-1117,Y0XUU7XAJUB1HP1L5,MTR9EQRGU8EY,NISSAN,FRONTIER,2014,2026-05-20 17:13:00,2026-05-23 10:34:00
2,11,45,GCA-1144,NWYMYVLDBTYN6J6E7,MTRY7D17UTTI,RENAULT,DUSTER,2016,2026-05-22 09:27:00,2026-05-25 12:48:00
3,23,57,UBA-1301,YPLYLTUB0JM5UYEA9,MTR1Z8B2CXLA,NISSAN,FRONTIER,2015,2026-05-07 11:51:00,2026-05-10 14:12:00
4,25,47,ABA-1328,XYBUJ8A9J30WBAKP6,MTRMI3M14YI5,RENAULT,DUSTER,2022,2026-05-09 13:05:00,2026-05-12 16:26:00
5,27,1,MBA-1355,8P51VCWHNYSD7D6ZJ,MTRG4ZEUCDS7,JAC,S3,2018,2026-05-11 15:19:00,2026-05-14 08:40:00
6,28,40,LBA-1369,ZM49XZHXTZNL70P1E,MTRKFTU3EWD3,CHEVROLET,D-MAX,2023,2026-05-12 16:26:00,2026-05-15 09:47:00
7,32,30,QBA-1422,96B739HK4VWEFY4VV,MTR4J6TXJW0Q,TOYOTA,HILUX,2020,2026-05-16 10:54:00,2026-05-19 13:15:00
8,34,7,TBA-1449,D3JYP2WZS793TURGW,MTR66R3Q12L4,NISSAN,FRONTIER,2020,2026-05-18 12:08:00,2026-05-21 15:29:00
9,37,33,EBA-1489,NBRM7RBPLBS66HSP6,MTRBHVJFCZFW,VOLKSWAGEN,GOL,2019,2026-05-21 15:29:00,2026-05-24 08:50:00
10,39,23,HBA-1516,RA9HGECE94FZ6P619,MTROE7S67Q0G,CHEVROLET,SAIL,2014,2026-05-23 17:43:00,2026-05-26 10:04:00
11,41,39,OBA-1543,DTC5KK91P8HZS0M4D,MTRJJ8UB0UD9,KIA,SPORTAGE,2021,2026-05-25 09:57:00,2026-05-01 12:18:00
12,46,56,IBA-1609,X46XDAAL5WB8L4SNR,MTRWXF61ZNAZ,NISSAN,FRONTIER,2021,2026-05-03 14:32:00,2026-05-06 17:53:00
13,48,3,RBA-1636,5T3KTVHBRFCVTUPEE,MTRON0GHGPHV,RENAULT,DUSTER,2019,2026-05-05 16:46:00,2026-05-08 09:07:00
14,49,27,SBA-1650,CEM2HXD0G2YGN2PSM,MTR3UYN7P8QQ,SUZUKI,VITARA,2021,2026-05-06 17:53:00,2026-05-09 10:14:00
15,51,53,XBA-1677,7X3FMKVUNN1SLRY6K,MTRDMDP7VCA8,CHEVROLET,D-MAX,2023,2026-05-08 09:07:00,2026-05-11 12:28:00
16,55,23,YBA-1730,VMLP582LBEYMC5MB2,MTRNGVMTCV92,TOYOTA,HILUX,2016,2026-05-12 13:35:00,2026-05-15 16:56:00
17,63,1,PBA-1835,R9K9MXT9TKYCU85RH,MTRVO5PQLQLS,JAC,S3,2019,2026-05-20 11:31:00,2026-05-23 14:52:00
18,68,22,GCA-1901,K19EF2U5LAE8L115Z,MTR8W43K4182,HYUNDAI,TUCSON,2016,2026-05-25 16:06:00,2026-05-01 09:27:00
19,69,21,UBA-1915,YVLAYVM2B5E1MT4NR,MTR6S6LIMQY6,TOYOTA,COROLLA,2021,2026-05-26 17:13:00,2026-05-02 10:34:00
20,75,33,ABA-1994,E96S5DM82532577PL,MTR0G3OHNC61,SUZUKI,VITARA,2022,2026-05-05 13:55:00,2026-05-08 16:16:00
21,78,51,MBA-2034,C3DM1H62JZ6FFLVF6,MTRCQW0GWWU9,KIA,RIO,2020,2026-05-08 16:16:00,2026-05-11 09:37:00
22,81,36,LBA-2074,8PBVNH2Z21BEUHKRH,MTRTRCO5U6L7,TOYOTA,HILUX,2017,2026-05-11 09:37:00,2026-05-14 12:58:00
23,83,29,QBA-2101,JLEDB137M7JV46XRZ,MTRIO0H2PC9K,NISSAN,FRONTIER,2023,2026-05-13 11:51:00,2026-05-16 14:12:00
24,89,58,TBA-2180,FTGVRAT7NW6CDT1AH,MTRPMMCCSZSG,CHEVROLET,SAIL,2019,2026-05-19 17:33:00,2026-05-22 10:54:00
25,94,9,EBA-2246,H9ZEBJH831DP4LPSW,MTRIGGAX4SPZ,TOYOTA,HILUX,2016,2026-05-24 12:08:00,2026-05-27 15:29:00
26,96,24,HBA-2273,1X0074BDP0KCK0U8V,MTRGKKWEF7WC,NISSAN,FRONTIER,2021,2026-05-26 14:22:00,2026-05-02 17:43:00
27,98,16,OBA-2300,5C8RSBRLGUB6L0DDG,MTR7TDHCH193,RENAULT,DUSTER,2022,2026-05-01 16:36:00,2026-05-04 09:57:00
28,99,11,IBA-2314,B8RWJEA51P2WY0HK8,MTR3E4BMAV05,SUZUKI,VITARA,2013,2026-05-02 17:43:00,2026-05-05 10:04:00
