tabla,registro_json
asegurados_sinteticos,"{""id_asegurado"": 1, ""segmento"": ""INDIVIDUAL"", ""antiguedad_meses"": 15, ""ciudad"": ""Cuenca"", ""numero_polizas"": 2, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""633.14"", ""created_at"": ""2026-05-02 09:07:00"", ""updated_at"": ""2026-05-05 12:28:00""}"
asegurados_sinteticos,"{""id_asegurado"": 2, ""segmento"": ""VIP"", ""antiguedad_meses"": 51, ""ciudad"": ""Loja"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""765.01"", ""created_at"": ""2026-05-03 10:14:00"", ""updated_at"": ""2026-05-06 13:35:00""}"
asegurados_sinteticos,"{""id_asegurado"": 3, ""segmento"": ""INDIVIDUAL"", ""antiguedad_meses"": 38, ""ciudad"": ""Machala"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""438.62"", ""score_cliente_simulado"": ""502.37"", ""created_at"": ""2026-05-04 11:21:00"", ""updated_at"": ""2026-05-07 14:42:00""}"
asegurados_sinteticos,"{""id_asegurado"": 4, ""segmento"": ""PYME"", ""antiguedad_meses"": 18, ""ciudad"": ""Portoviejo"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""539.09"", ""created_at"": ""2026-05-05 12:28:00"", ""updated_at"": ""2026-05-08 15:49:00""}"
asegurados_sinteticos,"{""id_asegurado"": 5, ""segmento"": ""PYME"", ""antiguedad_meses"": 47, ""ciudad"": ""Quito"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""240.35"", ""score_cliente_simulado"": ""552.33"", ""created_at"": ""2026-05-06 13:35:00"", ""updated_at"": ""2026-05-09 16:56:00""}"
asegurados_sinteticos,"{""id_asegurado"": 6, ""segmento"": ""INDIVIDUAL"", ""antiguedad_meses"": 127, ""ciudad"": ""Ambato"", ""numero_polizas"": 2, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""833.62"", ""created_at"": ""2026-05-07 14:42:00"", ""updated_at"": ""2026-05-10 17:03:00""}"
asegurados_sinteticos,"{""id_asegurado"": 7, ""segmento"": ""INDIVIDUAL"", ""antiguedad_meses"": 22, ""ciudad"": ""Quito"", ""numero_polizas"": 3, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""647.34"", ""created_at"": ""2026-05-08 15:49:00"", ""updated_at"": ""2026-05-11 08:10:00""}"
asegurados_sinteticos,"{""id_asegurado"": 8, ""segmento"": ""MASIVO"", ""antiguedad_meses"": 34, ""ciudad"": ""Daule"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""852.00"", ""created_at"": ""2026-05-09 16:56:00"", ""updated_at"": ""2026-05-12 09:17:00""}"
asegurados_sinteticos,"{""id_asegurado"": 9, ""segmento"": ""PYME"", ""antiguedad_meses"": 131, ""ciudad"": ""Cuenca"", ""numero_polizas"": 3, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""702.28"", ""created_at"": ""2026-05-10 17:03:00"", ""updated_at"": ""2026-05-13 10:24:00""}"
asegurados_sinteticos,"{""id_asegurado"": 10, ""segmento"": ""PYME"", ""antiguedad_meses"": 101, ""ciudad"": ""Manta"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""687.40"", ""created_at"": ""2026-05-11 08:10:00"", ""updated_at"": ""2026-05-14 11:31:00""}"
asegurados_sinteticos,"{""id_asegurado"": 11, ""segmento"": ""MASIVO"", ""antiguedad_meses"": 70, ""ciudad"": ""Loja"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""151.28"", ""score_cliente_simulado"": ""453.24"", ""created_at"": ""2026-05-12 09:17:00"", ""updated_at"": ""2026-05-15 12:38:00""}"
asegurados_sinteticos,"{""id_asegurado"": 12, ""segmento"": ""INDIVIDUAL"", ""antiguedad_meses"": 135, ""ciudad"": ""Machala"", ""numero_polizas"": 3, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""525.25"", ""created_at"": ""2026-05-13 10:24:00"", ""updated_at"": ""2026-05-16 13:45:00""}"
asegurados_sinteticos,"{""id_asegurado"": 13, ""segmento"": ""CORPORATIVO"", ""antiguedad_meses"": 176, ""ciudad"": ""Cuenca"", ""numero_polizas"": 2, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""608.57"", ""created_at"": ""2026-05-14 11:31:00"", ""updated_at"": ""2026-05-17 14:52:00""}"
asegurados_sinteticos,"{""id_asegurado"": 14, ""segmento"": ""INDIVIDUAL"", ""antiguedad_meses"": 36, ""ciudad"": ""Quito"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""1062.49"", ""score_cliente_simulado"": ""783.63"", ""created_at"": ""2026-05-15 12:38:00"", ""updated_at"": ""2026-05-18 15:59:00""}"
asegurados_sinteticos,"{""id_asegurado"": 15, ""segmento"": ""MASIVO"", ""antiguedad_meses"": 166, ""ciudad"": ""Loja"", ""numero_polizas"": 0, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""501.23"", ""created_at"": ""2026-05-16 13:45:00"", ""updated_at"": ""2026-05-19 16:06:00""}"
asegurados_sinteticos,"{""id_asegurado"": 16, ""segmento"": ""PYME"", ""antiguedad_meses"": 38, ""ciudad"": ""Cuenca"", ""numero_polizas"": 2, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""851.45"", ""created_at"": ""2026-05-17 14:52:00"", ""updated_at"": ""2026-05-20 17:13:00""}"
asegurados_sinteticos,"{""id_asegurado"": 17, ""segmento"": ""MASIVO"", ""antiguedad_meses"": 67, ""ciudad"": ""Cuenca"", ""numero_polizas"": 2, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""681.94"", ""created_at"": ""2026-05-18 15:59:00"", ""updated_at"": ""2026-05-21 08:20:00""}"
asegurados_sinteticos,"{""id_asegurado"": 18, ""segmento"": ""MASIVO"", ""antiguedad_meses"": 110, ""ciudad"": ""Portoviejo"", ""numero_polizas"": 0, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""667.58"", ""created_at"": ""2026-05-19 16:06:00"", ""updated_at"": ""2026-05-22 09:27:00""}"
asegurados_sinteticos,"{""id_asegurado"": 19, ""segmento"": ""PYME"", ""antiguedad_meses"": 140, ""ciudad"": ""Manta"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""246.58"", ""score_cliente_simulado"": ""658.28"", ""created_at"": ""2026-05-20 17:13:00"", ""updated_at"": ""2026-05-23 10:34:00""}"
asegurados_sinteticos,"{""id_asegurado"": 20, ""segmento"": ""VIP"", ""antiguedad_meses"": 102, ""ciudad"": ""Portoviejo"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""627.19"", ""created_at"": ""2026-05-21 08:20:00"", ""updated_at"": ""2026-05-24 11:41:00""}"
asegurados_sinteticos,"{""id_asegurado"": 21, ""segmento"": ""CORPORATIVO"", ""antiguedad_meses"": 25, ""ciudad"": ""Portoviejo"", ""numero_polizas"": 3, ""reclamos_ultimos_12_meses"": 3, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""399.72"", ""created_at"": ""2026-05-22 09:27:00"", ""updated_at"": ""2026-05-25 12:48:00""}"
asegurados_sinteticos,"{""id_asegurado"": 22, ""segmento"": ""INDIVIDUAL"", ""antiguedad_meses"": 28, ""ciudad"": ""Santo Domingo"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""501.60"", ""score_cliente_simulado"": ""680.03"", ""created_at"": ""2026-05-23 10:34:00"", ""updated_at"": ""2026-05-26 13:55:00""}"
asegurados_sinteticos,"{""id_asegurado"": 23, ""segmento"": ""MASIVO"", ""antiguedad_meses"": 4, ""ciudad"": ""Ambato"", ""numero_polizas"": 2, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""576.67"", ""created_at"": ""2026-05-24 11:41:00"", ""updated_at"": ""2026-05-27 14:02:00""}"
asegurados_sinteticos,"{""id_asegurado"": 24, ""segmento"": ""MASIVO"", ""antiguedad_meses"": 78, ""ciudad"": ""Loja"", ""numero_polizas"": 3, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""587.72"", ""score_cliente_simulado"": ""800.60"", ""created_at"": ""2026-05-25 12:48:00"", ""updated_at"": ""2026-05-01 15:09:00""}"
asegurados_sinteticos,"{""id_asegurado"": 25, ""segmento"": ""INDIVIDUAL"", ""antiguedad_meses"": 24, ""ciudad"": ""Quito"", ""numero_polizas"": 2, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""437.17"", ""created_at"": ""2026-05-26 13:55:00"", ""updated_at"": ""2026-05-02 16:16:00""}"
asegurados_sinteticos,"{""id_asegurado"": 26, ""segmento"": ""VIP"", ""antiguedad_meses"": 164, ""ciudad"": ""Guayaquil"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""568.21"", ""created_at"": ""2026-05-27 14:02:00"", ""updated_at"": ""2026-05-03 17:23:00""}"
asegurados_sinteticos,"{""id_asegurado"": 27, ""segmento"": ""INDIVIDUAL"", ""antiguedad_meses"": 13, ""ciudad"": ""Daule"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""735.84"", ""score_cliente_simulado"": ""848.15"", ""created_at"": ""2026-05-01 15:09:00"", ""updated_at"": ""2026-05-04 08:30:00""}"
asegurados_sinteticos,"{""id_asegurado"": 28, ""segmento"": ""CORPORATIVO"", ""antiguedad_meses"": 71, ""ciudad"": ""Cuenca"", ""numero_polizas"": 0, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""608.34"", ""created_at"": ""2026-05-02 16:16:00"", ""updated_at"": ""2026-05-05 09:37:00""}"
asegurados_sinteticos,"{""id_asegurado"": 29, ""segmento"": ""MASIVO"", ""antiguedad_meses"": 168, ""ciudad"": ""Santo Domingo"", ""numero_polizas"": 2, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""987.49"", ""created_at"": ""2026-05-03 17:23:00"", ""updated_at"": ""2026-05-06 10:44:00""}"
asegurados_sinteticos,"{""id_asegurado"": 30, ""segmento"": ""INDIVIDUAL"", ""antiguedad_meses"": 165, ""ciudad"": ""Manta"", ""numero_polizas"": 2, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""587.73"", ""created_at"": ""2026-05-04 08:30:00"", ""updated_at"": ""2026-05-07 11:51:00""}"
asegurados_sinteticos,"{""id_asegurado"": 31, ""segmento"": ""MASIVO"", ""antiguedad_meses"": 4, ""ciudad"": ""Portoviejo"", ""numero_polizas"": 0, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""504.18"", ""created_at"": ""2026-05-05 09:37:00"", ""updated_at"": ""2026-05-08 12:58:00""}"
asegurados_sinteticos,"{""id_asegurado"": 32, ""segmento"": ""PYME"", ""antiguedad_meses"": 147, ""ciudad"": ""Santo Domingo"", ""numero_polizas"": 3, ""reclamos_ultimos_12_meses"": 2, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""742.44"", ""created_at"": ""2026-05-06 10:44:00"", ""updated_at"": ""2026-05-09 13:05:00""}"
asegurados_sinteticos,"{""id_asegurado"": 33, ""segmento"": ""INDIVIDUAL"", ""antiguedad_meses"": 38, ""ciudad"": ""Daule"", ""numero_polizas"": 5, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""552.03"", ""created_at"": ""2026-05-07 11:51:00"", ""updated_at"": ""2026-05-10 14:12:00""}"
asegurados_sinteticos,"{""id_asegurado"": 34, ""segmento"": ""MASIVO"", ""antiguedad_meses"": 102, ""ciudad"": ""Daule"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""706.95"", ""created_at"": ""2026-05-08 12:58:00"", ""updated_at"": ""2026-05-11 15:19:00""}"
asegurados_sinteticos,"{""id_asegurado"": 35, ""segmento"": ""PYME"", ""antiguedad_meses"": 32, ""ciudad"": ""Guayaquil"", ""numero_polizas"": 3, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""627.91"", ""created_at"": ""2026-05-09 13:05:00"", ""updated_at"": ""2026-05-12 16:26:00""}"
asegurados_sinteticos,"{""id_asegurado"": 36, ""segmento"": ""MASIVO"", ""antiguedad_meses"": 49, ""ciudad"": ""Machala"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""698.25"", ""created_at"": ""2026-05-10 14:12:00"", ""updated_at"": ""2026-05-13 17:33:00""}"
asegurados_sinteticos,"{""id_asegurado"": 37, ""segmento"": ""INDIVIDUAL"", ""antiguedad_meses"": 46, ""ciudad"": ""Machala"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""1285.70"", ""score_cliente_simulado"": ""642.80"", ""created_at"": ""2026-05-11 15:19:00"", ""updated_at"": ""2026-05-14 08:40:00""}"
asegurados_sinteticos,"{""id_asegurado"": 38, ""segmento"": ""CORPORATIVO"", ""antiguedad_meses"": 30, ""ciudad"": ""Loja"", ""numero_polizas"": 1, ""reclamos_ultimos_12_meses"": 1, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""666.96"", ""created_at"": ""2026-05-12 16:26:00"", ""updated_at"": ""2026-05-15 09:47:00""}"
asegurados_sinteticos,"{""id_asegurado"": 39, ""segmento"": ""MASIVO"", ""antiguedad_meses"": 155, ""ciudad"": ""Guayaquil"", ""numero_polizas"": 2, ""reclamos_ultimos_12_meses"": 0, ""mora_actual"": ""0.00"", ""score_cliente_simulado"": ""645.66"", ""created_at"": ""2026-05-13 17:33:00"", ""updated_at"": ""2026-05-16 10:54:00""}"
